activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,climate change: total (incl. biogenic CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: fossil: global warming potential (GWP100) [IPCC 2021],climate change: biogenic (incl. CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: direct land use change: global warming potential (GWP100) [IPCC 2021],climate change: aircraft emissions: global warming potential (GWP100) [IPCC 2021],climate change: global warming potential (GWP20) [IPCC 2013],climate change: global temperature change potential (GTP100) [IPCC 2013]
"NMC811 hydroxide production, for Li-ion battery",CN,NMC811 hydroxide,kg,1,14.13471622806535,13.90891278962595,0.1628683060668362,0.0629351323725703,1.086702585068292e-07,16.8213567444536,12.96956879363021
"NMC811 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0.828025616532272,0.8147978284173855,0.0095409859928272,0.0036868021220593,6.366010915720737e-09,0.9854116675918516,0.7597701307352851
"NMC811 hydroxide production, for Li-ion battery",RoW,NMC811 hydroxide,kg,1,14.21068784041969,13.97840587765793,0.1691556916145428,0.0631262711472175,1.090408056600809e-07,16.8835008545128,13.0425313599653
"NMC811 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0.8324761085084562,0.8188688020495378,0.009909307238936,0.0036979992199823,6.3877179334708445e-09,0.9890521308466732,0.7640443498280908
"NMC811 oxide production, for Li-ion battery",CN,NMC811 oxide,kg,1,23.43117152288364,23.23860743531263,0.1272212780004647,0.0653428095705418,1.590871810308997e-07,27.33470955429499,21.82389812450187
"NMC811 oxide production, for Li-ion battery",RoW,NMC811 oxide,kg,1,21.69990873605485,21.38612568723012,0.2363833241872764,0.0773997246374551,0.0027892355611749,25.31625899152079,20.07860415187212
NPK (15-15-15) fertiliser production,CN,NPK (15-15-15) fertiliser,kg,1,1.95450181531461,1.960349989858372,-0.0079119619578994,0.0020637874141375,1.36190624736001e-08,2.124987221288812,1.817233240827106
NPK (15-15-15) fertiliser production,RoW,NPK (15-15-15) fertiliser,kg,1,1.416818926061956,1.41385707975427,0.0005003356854788,0.002461510622207,1.4332836888854922e-08,1.572219219994372,1.303434559864389
NPK (15-15-15) fertiliser production,RER,NPK (15-15-15) fertiliser,kg,1,1.051874597255249,1.050076425769721,-0.0007422559546968,0.0025404274402246,1.7690200043649543e-08,1.213403901166886,0.9793675220726994
NPK (15-15-15) fertiliser production,RNA,NPK (15-15-15) fertiliser,kg,1,1.340392539133624,1.341492292780556,-0.0036292060829433,0.0025294524360116,1.4084117113494631e-08,1.489631623168703,1.226414931318972
NPK (26-15-15) fertiliser production,CN,NPK (26-15-15) fertiliser,kg,1,3.356441701308698,3.36653854318632,-0.0123241049066528,0.0022272630290311,2.078564653047773e-08,3.615415854994807,3.108811516030983
NPK (26-15-15) fertiliser production,RoW,NPK (26-15-15) fertiliser,kg,1,2.336138544096531,2.331697899939507,0.0016542254821168,0.0027864186749066,2.185652603957131e-08,2.569567322303042,2.138279306694072
NPK (26-15-15) fertiliser production,RER,NPK (26-15-15) fertiliser,kg,1,1.620070147672318,1.617749358608971,-0.0003856612045641,0.0027064502679121,2.7953810121769882e-08,1.863759792630091,1.505272242295981
NPK (26-15-15) fertiliser production,RNA,NPK (26-15-15) fertiliser,kg,1,2.24701177386084,2.248588383926978,-0.0042887174822448,0.0027121074161072,2.1299274557693982e-08,2.472269520626897,2.043295180834773
