activity_name,geography,reference_product_name,kmeans_cluster,agglomerative_cluster,dbscan_cluster
electricity voltage transformation from high to medium voltage,CR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CW,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,DE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,DK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,DO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,DZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,EC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,EE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,EG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ER,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ES,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ET,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,FI,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,FR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GI,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,GT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,HK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,HN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,HR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,HT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,HU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ID,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IL,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IN-Eastern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IN-North-eastern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IN-Northern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IN-Southern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IN-Western grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IQ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IS,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,IT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,JM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,JO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,JP,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KP,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KW,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,KZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LB,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LV,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,LY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MD,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ME,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MX,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,MZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NI,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NL,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NP,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,NZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,OM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PL,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,PY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,QA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,RO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,RS,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,RU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SD,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SI,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SS,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SV,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,SY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TJ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TW,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,TZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,UA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-ASCC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-HICC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-MRO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-NPCC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-PR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-RFC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-SERC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-TRE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,US-WECC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,UY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,UZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,VE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,VN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,XK,"electricity, medium voltage",0,1,0
