activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,cluster,is_anomaly,pca_x,pca_y
"acetic acid production, from n-butane oxidation",US,methyl ethyl ketone,kg,1,4,False,0.04760682851781926,0.43802365689011175
"acetic acid production, from naphtha oxidation",RoW,acetic acid,kg,1,4,False,0.028092159660466316,0.2742368784824753
"acetic acid production, from naphtha oxidation",RoW,butyric acid,kg,1,4,False,0.07187822750587888,0.6415861936638314
"acetic acid production, from naphtha oxidation",RoW,formic acid,kg,1,4,False,0.04126193786953443,0.3847824948695492
"acetic acid production, from naphtha oxidation",RoW,propionic acid,kg,1,4,False,0.07046480067300905,0.6297391910132746
"acetic acid production, from naphtha oxidation",RoW,succinic acid,kg,1,4,False,0.08671554877194718,0.7658665267430154
"acetic acid production, from naphtha oxidation",IN,acetic acid,kg,1,4,False,0.04092106766778454,0.3819271210043951
"acetic acid production, from naphtha oxidation",IN,butyric acid,kg,1,4,False,0.08178528532453559,0.724600610786857
"acetic acid production, from naphtha oxidation",IN,formic acid,kg,1,4,False,0.05345199518014645,0.4870759661825048
"acetic acid production, from naphtha oxidation",IN,propionic acid,kg,1,4,False,0.08049784191822115,0.7138179129504197
"acetic acid production, from naphtha oxidation",IN,succinic acid,kg,1,4,False,0.09520336185530963,0.8368835218808504
"acetic acid production, from naphtha oxidation",RER,acetic acid,kg,1,4,False,0.0223520120001403,0.226043455978756
"acetic acid production, from naphtha oxidation",RER,butyric acid,kg,1,4,False,0.06726044270388584,0.6028750024566913
"acetic acid production, from naphtha oxidation",RER,formic acid,kg,1,4,False,0.03572946346143753,0.3383456717689536
"acetic acid production, from naphtha oxidation",RER,propionic acid,kg,1,4,False,0.06579313154988008,0.5905728170881779
"acetic acid production, from naphtha oxidation",RER,succinic acid,kg,1,4,False,0.08272061440072756,0.7324196902530866
"acetic acid production, from naphtha oxidation",UN-EASIA,acetic acid,kg,1,4,False,0.03285969275010854,0.3142620599635639
"acetic acid production, from naphtha oxidation",UN-EASIA,butyric acid,kg,1,4,False,0.07562252456320238,0.6729723852987693
"acetic acid production, from naphtha oxidation",UN-EASIA,formic acid,kg,1,4,False,0.04581909608686589,0.4230304047667231
"acetic acid production, from naphtha oxidation",UN-EASIA,propionic acid,kg,1,4,False,0.07425513925334377,0.661514111240961
"acetic acid production, from naphtha oxidation",UN-EASIA,succinic acid,kg,1,4,False,0.08993573820840618,0.7928256719411821
"acetic acid production, from naphtha oxidation",US,acetic acid,kg,1,4,False,0.027740857453782297,0.2712894078990215
"acetic acid production, from naphtha oxidation",US,butyric acid,kg,1,4,False,0.0715986812462174,0.6392482292283431
"acetic acid production, from naphtha oxidation",US,formic acid,kg,1,4,False,0.040924715956248046,0.3819546922415408
"acetic acid production, from naphtha oxidation",US,propionic acid,kg,1,4,False,0.07018193172569742,0.6273729659751344
"acetic acid production, from naphtha oxidation",US,succinic acid,kg,1,4,False,0.08647402778418771,0.7638527231749616
"acetic anhydride production, acetaldehyde oxidation",RoW,acetic acid,kg,1,4,False,0.019444701100051955,0.20163327552027668
"acetic anhydride production, acetaldehyde oxidation",RoW,acetic anhydride,kg,1,4,False,0.04814242991041019,0.4425191848921563
"acetic anhydride production, acetaldehyde oxidation",RER,acetic acid,kg,1,4,False,0.011414759262995289,0.13420494587071402
